iso3,country,rate_pre,rate_pandemic,delta_suicide,income_group,psychiatrists_per_100k,uhc_index_mean,excess_mortality_covid
UZB,Uzbekistan,11.756,9.17,-2.5860000000000003,Lower middle income,2.61,73,30620.25362
VCT,Saint Vincent and the Grenadines,2.266,0.26,-2.0060000000000002,Upper middle income,NA,72.2,103.933822
VEN,Venezuela (Bolivarian Republic of),7.118,8.265,1.1470000000000002,Upper middle income,NA,73.6,21137.78938
VNM,Viet Nam,7.516,6.87,-0.6459999999999999,Lower middle income,NA,66.8,-37274.39108
VUT,Vanuatu,18.834,17.995,-0.8389999999999986,Lower middle income,0.38,44,203.9673111
WSM,Samoa,14.386,14.19,-0.19599999999999973,Lower middle income,1.55,53,42.43722398
YEM,Yemen,5.779,5.085,-0.694,Lower middle income,0.2,40.6,30990.70275
ZAF,South Africa,19.424,20.72,1.2959999999999994,Upper middle income,1.52,69.2,246801.8918
ZMB,Zambia,11.306000000000001,12.58,1.2739999999999991,Lower middle income,0.056,52,14281.73159
ZWE,Zimbabwe,23.012,24.5,1.4879999999999995,Low income,0.095,53.8,16552.92832
